title,author,description,rating,genres,shelves,image_book,url
Death of a Salesman,Arthur Miller,"'For a salesman, there is no rock bottom to life. He don't put a bolt to a nut, he don't tell you the law or give you medicine. He's a man way out there in the blue, riding on a smile and a shoeshine.'

Willy Loman has been a salesman for 34 years. At 60, he is cast aside, his usefulness now exhausted. With no future to dream about he must face the crushing disappointments of his past. He takes one final brave action, but is he heroic at last?, or a self-deluding fool?",3.58,"['Classics', 'Plays', 'Fiction', 'Drama', 'School', 'Theatre', 'Literature']","['to-read', 'classics', 'plays', 'currently-reading', 'fiction', 'drama', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554514105i/12898.jpg,https://www.goodreads.com/book/show/12898.Death_of_a_Salesman
Pippi Longstocking,Astrid Lindgren,"Tommy and his sister Annika have a new neighbor, and her name is Pippi Longstocking. She has crazy red pigtails, no parents to tell her what to do, a horse that lives on her porch, and a flair for the outrageous that seems to lead to one adventure after another!",4.15,"['Classics', 'Childrens', 'Fiction', 'Middle Grade', 'Fantasy', 'Young Adult', 'Humor']","['to-read', 'currently-reading', 'classics', 'childrens', 'children', 'fiction', 'children-s']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519300455i/19302.jpg,https://www.goodreads.com/book/show/19302.Pippi_Longstocking
Persuasion,Jane Austen,"Persuasion is Jane Austen's last completed novel. She began it soon after she had finished Emma, completing it in August 1816. She died, aged 41, in 1817; Persuasion was published in December that year (but dated 1818). Persuasion is linked to Northanger Abbey not only by the fact that the two books were originally bound up in one volume and published together, but also because both stories are set partly in Bath, a fashionable city with which Austen was well acquainted, having lived there from 1801 to 1805. Besides the theme of persuasion, the novel evokes other topics, such as the Royal Navy, in which two of Jane Austen's brothers ultimately rose to the rank of admiral. As in Northanger Abbey, the superficial social life of Bath-well known to Austen, who spent several relatively unhappy and unproductive years there-is portrayed extensively and serves as a setting for the second half of the book. In many respects Persuasion marks a break with Austen's previous works, both in the more biting, even irritable satire directed at some of the novel's characters and in the regretful, resigned outlook of its otherwise admirable heroine, Anne Elliot, in the first part of the story. Against this is set the energy and appeal of the Royal Navy, which symbolises for Anne and the reader the possibility of a more outgoing, engaged, and fulfilling life, and it is this worldview which triumphs for the most part at the end of the novel.
Show more",4.15,"['Fiction', 'Classics', 'Historical Fiction', 'Audiobook', 'Historical', 'Literature', 'Book Club']","['to-read', 'currently-reading', 'favorites', 'fiction', 'classic', 'owned', 'own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385172413i/2156.jpg,https://www.goodreads.com/book/show/2156.Persuasion
We Were Liars,E. Lockhart,"A beautiful and distinguished family.
A private island.
A brilliant, damaged girl; a passionate, political boy.
A group of four friends—the Liars—whose friendship turns destructive.
A revolution. An accident. A secret.
Lies upon lies.
True love.
The truth.

is a modern, sophisticated suspense novel from bestselling author, National Book Award finalist, and Printz Award honoree E. Lockhart.

Read it.

And if anyone asks you how it ends, just LIE.
Show more",3.66,"['Young Adult', 'Mystery', 'Fiction', 'Contemporary', 'Romance', 'Thriller', 'Mystery Thriller']","['to-read', 'currently-reading', 'young-adult', 'favorites', 'ya', 'mystery', 'fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1402749479i/16143347.jpg,https://www.goodreads.com/book/show/16143347-we-were-liars
The Scarlet Pimpernel,Emmuska Orczy,"Armed with only his wits and his cunning, one man recklessly defies the French revolutionaries and rescues scores of innocent men, women, and children from the deadly guillotine. His friends and foes know him only as the Scarlet Pimpernel. But the ruthless French agent Chauvelin is sworn to discover his identity and to hunt him down.",4.07,"['Classics', 'Historical Fiction', 'Fiction', 'Adventure', 'Historical', 'Mystery', 'Book Club']","['to-read', 'classics', 'currently-reading', 'historical-fiction', 'fiction', 'favorites', 'classic']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406764899i/136116.jpg,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel
The Raven Boys,Maggie Stiefvater,"“There are only two reasons a non-seer would see a spirit on St. Mark’s Eve,” Neeve said. “Either you’re his true love . . . or you killed him.”

It is freezing in the churchyard, even before the dead arrive.

Every year, Blue Sargent stands next to her clairvoyant mother as the soon-to-be dead walk past. Blue herself never sees them—not until this year, when a boy emerges from the dark and speaks directly to her.

His name is Gansey, and Blue soon discovers that he is a rich student at Aglionby, the local private school. Blue has a policy of staying away from Aglionby boys. Known as Raven Boys, they can only mean trouble.

But Blue is drawn to Gansey, in a way she can’t entirely explain. He has it all—family money, good looks, devoted friends—but he’s looking for much more than that. He is on a quest that has encompassed three other Raven Boys: Adam, the scholarship student who resents all the privilege around him; Ronan, the fierce soul who ranges from anger to despair; and Noah, the taciturn watcher of the four, who notices many things but says very little.

For as long as she can remember, Blue has been warned that she will cause her true love to die. She never thought this would be a problem. But now, as her life becomes caught up in the strange and sinister world of the Raven Boys, she’s not so sure anymore.
Show more",4.05,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Fiction', 'Audiobook', 'Urban Fantasy']","['to-read', 'fantasy', 'currently-reading', 'favorites', 'young-adult', 'ya', 'paranormal']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1573508485i/17675462.jpg,https://www.goodreads.com/book/show/17675462-the-raven-boys
I Know Why the Caged Bird Sings,Maya Angelou,"Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.

Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.

Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.

Poetic and powerful, will touch hearts and change minds for as long as people read.
Show more",4.30,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism']","['to-read', 'currently-reading', 'non-fiction', 'classics', 'memoir', 'nonfiction', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214.jpg,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"Author Erik Larson imbues the incredible events surrounding the 1893 Chicago World's Fair with such drama that readers may find themselves checking the book's categorization to be sure that 'The Devil in the White City' is not, in fact, a highly imaginative novel. Larson tells the stories of two men: Daniel H. Burnham, the architect responsible for the fair's construction, and H.H. Holmes, a serial killer masquerading as a charming doctor.

Burnham's challenge was immense. In a short period of time, he was forced to overcome the death of his partner and numerous other obstacles to construct the famous ""White City"" around which the fair was built. His efforts to complete the project, and the fair's incredible success, are skillfully related along with entertaining appearances by such notables as Buffalo Bill Cody, Susan B. Anthony, and Thomas Edison.

The activities of the sinister Dr. Holmes, who is believed to be responsible for scores of murders around the time of the fair, are equally remarkable. He devised and erected the World's Fair Hotel, complete with crematorium and gas chamber, near the fairgrounds and used the event as well as his own charismatic personality to lure victims.

Combining the stories of an architect and a killer in one book, mostly in alternating chapters, seems like an odd choice but it works. The magical appeal and horrifying dark side of 19th-century Chicago are both revealed through Larson's skillful writing. - John Moe
Show more",4.00,"['Nonfiction', 'History', 'True Crime', 'Book Club', 'Crime', 'Historical', 'Mystery']","['to-read', 'currently-reading', 'non-fiction', 'history', 'nonfiction', 'true-crime', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1583433024i/397483.jpg,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
Sharp Objects,Gillian Flynn,"Fresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the unsolved murder of a preteen girl and the disappearance of another. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed in her old bedroom in her family's Victorian mansion, Camille finds herself identifying with the young victims—a bit too strongly. Dogged by her own demons, she must unravel the psychological puzzle of her own past if she wants to get the story—and survive this homecoming.

Show more",4.01,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Audiobook', 'Suspense']","['to-read', 'currently-reading', 'favorites', 'thriller', 'mystery', 'fiction', 'mystery-thriller']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1475695315i/18045891.jpg,https://www.goodreads.com/book/show/18045891-sharp-objects
Jonathan Strange & Mr Norrell,Susanna Clarke,"The year is 1806. England is beleaguered by the long war with Napoleon, and centuries have passed since practical magicians faded into the nation's past. But scholars of this glorious history discover that one remains: the reclusive Mr Norrell, whose displays of magic send a thrill through the country.

Proceeding to London, he raises a beautiful woman from the dead and summons an army of ghostly ships to terrify the French. Yet the cautious, fussy Norrell is challenged by the emergence of another magician: the brilliant novice Jonathan Strange.

Young, handsome and daring, Strange is the very antithesis of Norrell. So begins a dangerous battle between these two great men which overwhelms that between England and France. And their own obsessions and secret dabblings with the dark arts are going to cause more trouble than they can imagine.
Show more",3.87,"['Fantasy', 'Fiction', 'Historical Fiction', 'Historical', 'Magic', 'Audiobook', 'Science Fiction Fantasy']","['to-read', 'currently-reading', 'fantasy', 'fiction', 'favorites', 'historical-fiction', 'owned']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1743119988i/14201.jpg,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
